,Date,Pricing,Market,Product,Price,Change,Unit
0,2022-11-16,Retail,Khartoum,Guava,1000.0,0%,Kilogram
1,2022-11-15,Wholesale,Rabak,Donkey (male),150000.0,2.04%,Head
2,2022-11-15,Wholesale,Rabak,Horse,420000.0,0%,Head
3,2022-11-15,Wholesale,Rabak,Camels,325000.0,0%,Head
4,2022-11-15,Wholesale,Rabak,Goat (Noubian Male live 13-30kgs),26000.0,0%,Head
5,2022-11-15,Wholesale,Rabak,"Calf (live, 250 Kg)",160000.0,3.23%,Head
6,2022-11-15,Wholesale,Rabak,"Bull (350 kg, live)",390000.0,1.3%,Head
7,2022-11-15,Wholesale,Rabak,Local milking Cow - Low Yeilder,225000.0,0%,Head
8,2022-11-15,Wholesale,Rabak,Local milking Cow - Hi Yeilder,460000.0,1.1%,Head
9,2022-11-15,Wholesale,Rabak,Lamb - (live 15-30kgs),18000.0,2.86%,Head
10,2022-11-15,Wholesale,Rabak,Sheep (35 - 40 Kg Live + 2 years),47000.0,2.17%,Head
11,2022-11-15,Retail,Rabak,Eggs,3000.0,9.09%,Egg tray
12,2022-11-15,Retail,Rabak,White Cheese,3900.0,0%,Kilogram
13,2022-11-15,Retail,Rabak,Milk,350.0,0%,Ratoul
14,2022-11-15,Retail,Rabak,Chicken,2250.0,2.27%,Kilogram
15,2022-11-15,Retail,Rabak,Camel Meat,2800.0,0%,Kilogram
16,2022-11-15,Retail,Rabak,Tilapia,1100.0,0%,Kilogram
17,2022-11-15,Retail,Rabak,Goat (Meat),3500.0,0%,Kilogram
18,2022-11-15,Retail,Rabak,Calf meat,2800.0,0%,Kilogram
19,2022-11-15,Retail,Rabak,Beef (Bone-in),2400.0,0%,Kilogram
20,2022-11-15,Retail,Rabak,Beef (Boneless),3600.0,0%,Kilogram
21,2022-11-15,Retail,Rabak,Mutton,3600.0,0%,Kilogram
22,2022-11-15,Wholesale,El Fasher,Goat (Noubian Male live 13-30kgs),27800.0,0%,Head
23,2022-11-15,Wholesale,El Fasher,Camels,439000.0,0%,Head
24,2022-11-15,Wholesale,El Fasher,"Calf (live, 250 Kg)",192800.0,0%,Head
25,2022-11-15,Wholesale,El Fasher,Sheep (35 - 40 Kg Live + 2 years),50100.0,0%,Head
26,2022-11-14,Wholesale,Dongola,Alfa Alfa bale,48000.0,-4%,Box (80 pieces)
27,2022-11-14,Wholesale,Dongola,Seed Cake,18000.0,-25%,KANTAR (45 KG)
28,2022-11-14,Retail,Dongola,Mutton,4000.0,0%,Kilogram
29,2022-11-14,Retail,Dongola,White Cheese,5000.0,0%,Kilogram
30,2022-11-14,Retail,Dongola,Lamb Meat,4100.0,0%,Kilogram
