,Date,Market,Product,In_Flow,Out_Flow,Stock,Unit
3,2022-11-14,"Om Durman, El Salam",Donkey (male),79,29,,Head
4,2022-11-14,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),186,127,,Head
5,2022-11-14,"Om Durman, El Salam",Camels,48,34,,Head
6,2022-11-14,"Om Durman, El Salam",Sheep (hamari),3491,2804,,Head
7,2022-11-14,"Om Durman, El Salam",Lamb - (live 15-30kgs),3008,2176,,Head
8,2022-11-14,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3517,28049,,Head
9,2022-11-12,El Damer,Donkey (male),150,0,,Head
10,2022-11-12,El Damer,Camels,371,0,,Head
11,2022-11-12,El Damer,Goat (Noubian Male live 13-30kgs),183,0,,Head
12,2022-11-12,El Damer,Sheep (35 - 40 Kg Live + 2 years),3477,0,,Head
13,2022-11-07,"Om Durman, El Salam",Donkey (male),76,23,,Head
14,2022-11-07,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),192,113,,Head
15,2022-11-07,"Om Durman, El Salam",Camels,33,26,,Head
16,2022-11-07,"Om Durman, El Salam",Sheep (hamari),3715,2639,,Head
17,2022-11-07,"Om Durman, El Salam",Lamb - (live 15-30kgs),2908,1782,,Head
18,2022-11-07,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3146,2578,,Head
19,2022-11-05,El Damer,Donkey (male),160,0,,Head
20,2022-11-05,El Damer,Camels,280,0,,Head
21,2022-11-05,El Damer,Goat (Noubian Male live 13-30kgs),291,0,,Head
22,2022-11-05,El Damer,Sheep (35 - 40 Kg Live + 2 years),3473,0,,Head
23,2022-10-31,"Om Durman, El Salam",Donkey (male),82,22,,Head
24,2022-10-31,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),173,109,,Head
25,2022-10-31,"Om Durman, El Salam",Camels,27,18,,Head
26,2022-10-31,"Om Durman, El Salam",Sheep (hamari),3267,2117,,Head
27,2022-10-31,"Om Durman, El Salam",Lamb - (live 15-30kgs),2592,1746,,Head
28,2022-10-31,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2481,1907,,Head
29,2022-10-29,El Damer,Donkey (male),80,0,,Head
30,2022-10-29,El Damer,Camels,200,0,,Head
31,2022-10-29,El Damer,Goat (Noubian Male live 13-30kgs),200,0,,Head
32,2022-10-29,El Damer,Sheep (35 - 40 Kg Live + 2 years),3701,0,,Head
33,2022-10-24,"Om Durman, El Salam",Donkey (male),92,17,,Head
34,2022-10-24,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),204,147,,Head
35,2022-10-24,"Om Durman, El Salam",Camels,37,26,,Head
36,2022-10-24,"Om Durman, El Salam",Sheep (hamari),3176,2081,,Head
37,2022-10-24,"Om Durman, El Salam",Lamb - (live 15-30kgs),2657,1793,,Head
38,2022-10-24,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2584,1729,,Head
39,2022-10-17,"Om Durman, El Salam",Donkey (male),103,16,,Head
40,2022-10-17,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),194,128,,Head
41,2022-10-17,"Om Durman, El Salam",Camels,31,22,,Head
42,2022-10-17,"Om Durman, El Salam",Sheep (hamari),3857,2883,,Head
43,2022-10-17,"Om Durman, El Salam",Lamb - (live 15-30kgs),3219,2412,,Head
44,2022-10-17,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3382,2476,,Head
45,2022-10-15,El Damer,Donkey (male),150,0,,Head
46,2022-10-15,El Damer,Camels,352,0,,Head
47,2022-10-15,El Damer,Goat (Noubian Male live 13-30kgs),439,0,,Head
48,2022-10-15,El Damer,Sheep (35 - 40 Kg Live + 2 years),3258,0,,Head
49,2022-10-10,"Om Durman, El Salam",Donkey (male),119,21,,Head
50,2022-10-10,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),228,147,,Head
51,2022-10-10,"Om Durman, El Salam",Camels,38,17,,Head
52,2022-10-10,"Om Durman, El Salam",Sheep (hamari),4654,3367,,Head
53,2022-10-10,"Om Durman, El Salam",Lamb - (live 15-30kgs),3589,2871,,Head
54,2022-10-10,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3783,2826,,Head
55,2022-10-08,El Damer,Donkey (male),170,0,,Head
56,2022-10-08,El Damer,Camels,400,0,,Head
