,Title[2][3],Publisher[2][3]
0,Airball,Tengen
1,Armadillo,IGS
2,Bashi Bazook: Morphoid Masher,Jaleco
3,Blazeblasters,Nexoft
4,Blockout,Technōs Japan
5,Buster Bros.,Hudson Soft
6,Buzz & Waldog,Innovation
7,The California Raisins: The Grape Escape,Capcom
8,Card Sharks,GameTek
9,Cheetahmen II,Active Enterprises
10,Chip's Challenge,Bullet-Proof Software
11,Chuck Yeager's Fighter Combat,Electronic Arts
12,Crash 'n the Boys: Ice Challenge,Technōs Japan
13,Crash 'n the Boys: Soccer Challenge,Technōs Japan
14,Cyberball (unlicensed version),Tengen
15,Days of Thunder (unreleased version),Mindscape
16,Drac's Night Out,Parker Brothers
17,Earth Bound[a],Nintendo
18,Erik the Viking,Video System
19,Escape from Atlantis,Color Dreams
20,Exploding Fist,Tradewest
21,Final Fantasy II,Square
22,Happy Camper,Color Dreams
23,Happily Ever After,SOFEL
24,Hard Drivin',Tengen
25,HeroQuest,Milton Bradley Company
26,Hit the Ice,Taito
27,John Madden Football '93,Ubisoft
28,Kung Fu 2,Irem
29,New Kids on the Block,Parker Brothers
30,Password,GameTek
31,Pescatore,Sunsoft
32,Pizza Pop,Jaleco
33,Police Academy,Tengen
34,The Price is Right,GameTek
35,Rampart (unlicensed version),Tengen
36,Return of Donkey Kong,Nintendo
37,Road Runner (licensed version),Mindscape
38,RoboCop vs. the Terminator,Virgin Interactive
39,Secret Ties,Vic Tokai
40,SimCity,Nintendo
41,Spy vs. Spy: The Island Caper[b],Kemco
42,Squashed,Jaleco
43,Sunman,Sunsoft
44,Super Password,GameTek
45,Super Pitfall 2,Activision
46,Sydney Hunter and the Curse of the Mayan,CollectorVision
47,Talking Super Password,GameTek
48,Technocop,Tengen
49,Thomas the Tank Engine & Friends,THQ
50,Time Diver: Eon Man,Taito
51,Titan Warriors,Capcom
52,Trival Pursuit,Parker Brothers
53,Twin Peaks,Hi Tech Expressions
54,UWC,SETA
55,War on Wheels,Jaleco
56,World War III,LJN
57,Xybots,Tengen
