Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
Austin's Pizza,Austin Unites,$196.35,04/30/2016,Entity,2222 Rio Grande St #110,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,07/18/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Food/Beverage Expense | Volunteer Food,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258188),R20160718161156-F0001
"Moreland Consulting, LLC",Austin4All PAC,$2725.00,03/09/2016,Entity,5202 Woodmoor Dr,"Austin, TX, 78221",2016,Political Expenditure from Political Contributions,07/18/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258185),R20160718161720-F0003
Wells Fargo,Austin4All PAC,$15.00,03/03/2016,Entity,3949 S Lamar Blvd,"Austin, TX, 78704",2016,Non-political Expenditure Made From Political Contributions,07/18/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258185),R20160718161720-F0004
Wells Fargo,Austin4All PAC,$14.00,05/31/2016,Entity,3949 S Lamar Blvd,"Austin, TX, 78704",2016,Non-political Expenditure Made From Political Contributions,07/18/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258185),R20160718161720-F0005
Wells Fargo,Austin4All PAC,$14.00,06/30/2016,Entity,3949 S Lamar Blvd,"Austin, TX, 78704",2016,Non-political Expenditure Made From Political Contributions,07/18/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Fee,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258185),R20160718161720-F0006
IEEE US Bank,"Pressley, Laura",$350.00,01/20/2016,Entity,P. O. Box 790408,"St. Louis, MO, 63179",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0003
Capital One,"Pressley, Laura",$300.00,02/16/2016,Entity,P.O. Box 60599,"City Of Industry, CA, 91716",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0007
Discover,"Pressley, Laura",$250.00,02/17/2016,Entity,P.O. Box 6103,"Carol Steam, IL, 60197",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0008
Citi Card,"Pressley, Laura",$610.00,02/17/2016,Entity,P.O. Box 183037,"Columbus, OH, 43218",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0010
Office Depot,"Pressley, Laura",$108.24,02/29/2016,Entity,816 Tirado St,"Austin, TX, 78752",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0011
"Dr. Jeff Jacobson, Ph.D.","Pressley, Laura",$1000.00,02/28/2016,Individual,333 Larmatine,"Jamaica Plain, MA, 2130",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Legal Services,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0012
Office Depot,"Pressley, Laura",$108.24,03/09/2016,Entity,816 Tirado St,"Austin, TX, 78752",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0013
The Paper Place,"Pressley, Laura",$208.92,03/14/2016,Entity,4001 No. Lamar,"Austin, TX, 78756",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0014
IEEE US Bank,"Pressley, Laura",$250.00,03/21/2016,Entity,P.O. Box 79048,"St. Louis, MO, 63179",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0015
Capital One,"Pressley, Laura",$350.00,03/21/2016,Entity,P.O. Box 60599,"City Of Industry, CA, 91716",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0016
"Dr. Jeff Jacobson, Ph.D.","Pressley, Laura",$1000.00,03/21/2016,Individual,333 Larmatine,"Jamaica Plain, MA, 2130",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Legal Services,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0018
Mark Cohen,"Pressley, Laura",$130.00,03/21/2016,Individual,805 W. 10th Ste. 100,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Legal Services,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0020
The Paper Place,"Pressley, Laura",$250.60,04/04/2016,Entity,4001 No. Lamar,"Austin, TX, 78756",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0021
FedEX Office,"Pressley, Laura",$202.89,04/28/2016,Entity,5900 Burnet,"Austin, TX, 78756",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0030
Capital One,"Pressley, Laura",$331.00,04/28/2016,Entity,P.O. Box 60599,"City Of Industry, CA, 91716",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0031
The Paper Place,"Pressley, Laura",$105.54,05/31/2016,Entity,4001 No. Lamar,"Austin, TX, 78752",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Supplies,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0037
