"ID";"EducationSectors";"Periods";"OperatingIncome_1";"GrantsFromTheState_2";"OtherGovernmentalGrants_3";"TuitionAndExamFees_4";"IncomeFromContractsWithThirdParties_5";"OtherIncome_6";"OperatingCosts_7";"PersonnelCosts_8";"Depreciation_9";"HousingCosts_10";"TotalOtherCosts_11";"AdministrativeCosts_12";"InventoryMaterialAndTeachingAid_13";"Other_14";"OperatingResult1_15";"NetFinancialCosts2_16";"SpecialEntries3_17";"Result123_18";"TotalAssets_19";"TotalFixedAssets_20";"NonFinancialIntangibleFixedAssets_21";"TotalNonFinancialTangibleFixedAs_22";"BuildingsAndLand_23";"InventoryAndEquipment_24";"OtherNonFinancialTangibleFixedAs_25";"FinancialFixedAssets_26";"TotalCurrentAssets_27";"Inventory_28";"Receivables_29";"ShortTermSecurities_30";"LiquidAssets_31";"TotalLiabilitiesAndEquity_32";"Equity_33";"Provisions_34";"LongTermDebt_35";"ShortTermDebt_36";"TotalInvestmentsGross_37";"InvestmentsGrossBuildingsAndLand_38";"InvestmentsGrossInventoryAndEq_39";"SolvencyRatio_40";"CurrentRatio_41";"ProfitMargin_42";"ResilienceRatio_43";"CapitalizationFactor_44"
"0";"A048580";"1998JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1";"A048580";"1999JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2";"A048580";"2000JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"3";"A048580";"2001JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"4";"A048580";"2002JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"5";"A048580";"2003JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"6";"A048580";"2004JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"7";"A048580";"2005JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"8";"A048580";"2006JJ00";" 25847.0";" 21084.5";"   865.2";"   884.8";"  1384.6";"  1627.9";" 25373.3";" 18966.5";"   998.8";"  1809.7";"  3598.2";"       .";"       .";"       .";"   473.6";"    86.9";"    -8.0";"   552.4";" 18991.5";" 11480.1";"    11.2";" 10094.2";"  6779.1";"  1971.5";"  1343.5";"  1374.8";"  7511.5";"    71.0";"  2558.9";"   124.6";"  4757.1";" 18991.5";"  9578.8";"  2395.8";"  1832.3";"  5184.6";"  2090.2";"  1320.8";"   769.4";"    50.4";"   144.9";"     2.1";"    -2.4";"    47.2"
"9";"A048580";"2007JJ00";" 27232.7";" 22187.0";"   712.6";"   925.7";"  1531.8";"  1875.6";" 26890.7";" 20062.5";"  1040.1";"  1911.4";"  3876.7";"       .";"       .";"       .";"   341.9";"   127.2";"    23.3";"   492.4";" 20136.9";" 12353.3";"    13.3";" 10999.2";"  7382.4";"  2167.3";"  1449.5";"  1340.8";"  7783.5";"    83.4";"  2577.0";"   134.8";"  4988.2";" 20136.9";" 10056.8";"  2521.5";"  1936.3";"  5622.2";"  2363.2";"  1570.8";"   792.3";"    49.9";"   138.4";"     1.8";"    -4.2";"    46.8"
