user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
Fatima Elatik,Amsterdam,13898,2838,False,2021-04-30 12:08:33,Hoe angst voor precedentwerking het wantrouwen tussen burgers en overheid vergroot? The pink elephant in the room? #toeslagenaffaire #democratie #controlerendemacht #integereoverheid  https://t.co/rCBnNs8xQs,,Twitter for iPhone,nl,False
Back2Basics,,66,68,False,2021-04-30 12:05:29,"Als de Tweede Kamer het dan niet kan, moeten we het zelf maar doen. Weg met dat #KutKabinet!
Komt allen tezamen op de #SolidariteitsManifestatie!  
#NotulenDebat #RutteDoctrine #ToeslagenAffaire https://t.co/NmoONr0GoD",['KutKabinet'],Twitter Web App,nl,False
debloggendeb,,23,77,False,2021-04-30 12:04:30,"Na 4 maanden wachten op uitslag over de #toeslagenaffaire claim heeft @Belastingdienst eindelijk antwoord gegeven.

Ze zijn er nog niet uit en twijfelen o.a. of ik de leeftijd van mijn kinderen wel zeker weet. 👍

Lekker gewerkt, @MinPres",['toeslagenaffaire'],Twitter for Android,nl,False
IK,,105,246,False,2021-04-30 12:03:50,@biancav79 @toeslagherstel @RenskeLeijten Beste @RenskeLeijten dit is niet juist. Wat kan aan deze specifieke situatie gedaan worden- dossier vernietigd.Bewijslast weg.Wat hoort @toeslagherstel dan te doen.Want dan kan BD alles vernietigen  &amp; hoef je alleen maar afwijzingsbrieven te sturen. #toeslagenaffaire,,Twitter for iPhone,nl,False
Radar,Hilversum,50568,2673,True,2021-04-30 12:00:03,"Voor de deadline van 1 mei krijgen 11.000 gedupeerden van de #toeslagenaffaire de compensatie van 30.000 euro. Dat zegt staatssecretaris Alexandra van Huffelen (Toeslagen) in debat met de Tweede Kamer. #Radar 

https://t.co/fOqSJ5qh8G",['toeslagenaffaire'],TweetDeck,nl,False
😎,Nederland,69,277,False,2021-04-30 11:58:23,@geertwilderspvv Dat betekent dat de slachtoffers van de #toeslagenaffaire nog jaren kunnen wachten op hun geld.....,['toeslagenaffaire'],Twitter for Android,nl,False
"De Buurvrouw , moment geduld aub.",Sneek,3803,2665,False,2021-04-30 11:58:18,"Gevolgen van #toeslagenaffaire 👇
@RenskeLeijten hoe zit dit? https://t.co/8HUu1LWj15",['toeslagenaffaire'],Twitter for iPhone,nl,False
Birsen Karatay,,173,271,False,2021-04-30 11:58:03,"Begin mij na de #toeslagenaffaire #formatieproces ,  #ministerraad  en nu #nctv ernstig zorgen te maken over democratie, integriteit, vertrouwen, mensenrechten en staatkundig staat van dit land. Wat een zooitje. https://t.co/wcUpFkoKiq","['toeslagenaffaire', 'formatieproces', 'ministerraad', 'nctv']",Twitter for iPhone,nl,False
marion baggerman,,11,59,False,2021-04-30 11:57:08,@MinisterVreZa @geertwilderspvv @MarijnissenL Herkenbaar hoor ben in 2018 al aangemeld Woehoe waar blijft een reactie of m’n geld??? #wordgek #toeslagenaffaire @geertwilderspvv,,Twitter for iPhone,nl,False
Ray Heijder,Vernederland,811,802,False,2021-04-30 11:50:44,@MoniqueBromet De #toeslagenaffaire heeft al AANGETOOND dat zelfs de rechters samenzweren met de uitvoeringsorganisaties (zoals de Belastingdienst en gemeenten) tegen de burgers. Dus tja... wat voor hoop is er nog?,['toeslagenaffaire'],Twitter Web App,nl,False
