UUID,Name,Topic,Summary,Description,Tags,Feature_Names,Length,Size,Source,License,Usability
1,"Football Stats","Sports","A comprehensive dataset containing statistics for football matches, including player performance, team rankings, and match outcomes. This dataset is ideal for analyzing football trends and player performance over the years.","This dataset provides detailed statistics for football matches, including player performance metrics, team rankings, and match results. It covers a wide range of attributes such as goals, assists, yellow cards, and red cards. Researchers and sports enthusiasts can use this data to analyze football trends, team strategies, and player performance over different seasons. The dataset is regularly updated to include the latest football statistics.","Football, Soccer, Sports Analytics","Player, Team, Match, Goals, Assists, Yellow Cards, Red Cards","5000","2456 KB","Kaggle","CC BY-SA 4.0","9.2"
2,"NBA Player Stats","Sports","A dataset containing statistics for NBA players, including points, rebounds, assists, and more. This data is perfect for basketball enthusiasts and analysts.","This dataset provides detailed statistics for NBA players, including points scored, rebounds, assists, steals, blocks, and more. It covers player performance for multiple seasons, allowing analysts to track the career trajectories of NBA athletes. Basketball enthusiasts and analysts can use this data to study player trends, team strategies, and historical performance.","Basketball, NBA, Sports Analytics","Player, Points, Rebounds, Assists, Steals, Blocks","2500","1897 KB","NBA.com","CC BY-NC-SA 4.0","9.5"
3,"Olympic Games Data","Sports","A dataset containing historical data of Olympic Games, including medal counts, countries, and athletes. Perfect for exploring the history of the Olympic Games.","This comprehensive dataset contains historical data of the Olympic Games, including information on medal counts, participating countries, and the athletes who competed. It covers data from various Olympic Games throughout history, enabling researchers to analyze trends and historical performances. This dataset is a valuable resource for those interested in the history of the Olympic Games and sports analytics.","Olympics, Sports History, Medal Counts","Year, Host City, Country, Athlete, Sport, Medal","12000","3689 KB","International Olympic Committee","Public Domain","8.8"
4,"Baseball Player Performance","Sports","An extensive dataset with performance statistics for baseball players, including batting averages, home runs, and pitching records. Ideal for baseball analysts and enthusiasts.","This dataset offers a comprehensive collection of performance statistics for baseball players, encompassing batting averages, home runs, earned run averages (ERAs), and other key metrics. It covers data for both pitchers and position players, making it a valuable resource for baseball analysts and enthusiasts. Researchers can use this data to analyze player trends, team dynamics, and historical performance.","Baseball, MLB, Sports Analytics","Player, Batting Average, Home Runs, ERA, Wins, Strikeouts","3500","2874 KB","MLB.com","CC BY-NC-SA 4.0","9.3"
5,"Soccer World Cup","Sports","A dataset containing historical records of FIFA World Cup matches, including scores, teams, and player statistics. Perfect for soccer fans and researchers.","This dataset contains historical records of FIFA World Cup matches, including scores, participating teams, and player statistics. It covers data from various World Cup tournaments, allowing soccer enthusiasts and researchers to explore the rich history of the tournament. Analysts can use this data to analyze team performance, player achievements, and tournament trends.","Soccer, FIFA World Cup, Sports History","Year, Host Country, Match, Score, Teams, Goals, Assists","3000","2145 KB","FIFA.com","Public Domain","8.9"
6,"Golf Tournament Results","Sports","A dataset with results and statistics from professional golf tournaments, including player scores, course details, and rankings. Valuable for golf enthusiasts and analysts.","This dataset provides results and statistics from professional golf tournaments, including player scores, course details, and rankings. It covers a wide range of golf tournaments, enabling golf enthusiasts and analysts to examine player performance, course characteristics, and historical trends. Researchers can use this data to gain insights into the world of professional golf.","Golf, PGA Tour, Sports Analytics","Player, Tournament, Score, Course, Par, Rank","1800","1456 KB","PGA Tour","CC BY-NC-SA 4.0","9.1"
7,"Tennis Grand Slam Data","Sports","A dataset containing information about Grand Slam tennis tournaments, including match results, players, and rankings. Ideal for tennis enthusiasts and analysts.","This dataset offers comprehensive information about Grand Slam tennis tournaments, including match results, player profiles, and historical rankings. It covers data from Wimbledon, the US Open, the French Open, and the Australian Open, making it a valuable resource for tennis enthusiasts and analysts. Researchers can use this data to analyze player performance and tournament dynamics.","Tennis, Grand Slam, Sports Analytics","Tournament, Year, Player, Match, Score, Rank","2500","1892 KB","ATP Tour","CC BY-NC-SA 4.0","9.4"
8,"Formula 1 Racing Data","Sports","A dataset containing statistics and results from Formula 1 races, including driver performance, team standings, and circuit details. Perfect for Formula 1 fans and analysts.","This dataset provides comprehensive statistics and results from Formula 1 races, including driver performance metrics, team standings, and circuit characteristics. It covers data from multiple Formula 1 seasons, allowing fans and analysts to track the evolution of the sport. Researchers can use this data to analyze driver rivalries, team strategies, and historical race outcomes.","Formula 1, Racing, Sports Analytics","Race, Year, Driver, Team, Circuit, Points","2000","1765 KB","Formula1.com","CC BY-NC-SA 4.0","9.2"
9,"Cricket Match Records","Sports","A dataset containing records of international cricket matches, including scores, players, and match details. Valuable for cricket enthusiasts and analysts.","This dataset contains records of international cricket matches, including scores, participating players, and match-specific details. It covers various formats of the game, such as Test matches, One Day Internationals (ODIs), and Twenty20 (T20) matches. Cricket enthusiasts and analysts can use this data to analyze player performances and historical match outcomes.","Cricket, Sports Analytics, International Matches","Match, Year, Teams, Score, Player, Runs, Wickets","2800","2098 KB","International Cricket Council","CC BY-NC-SA 4.0","8.8"
10,"Martial Arts Tournament Data","Sports","A dataset containing information about martial arts tournaments, including match results, fighters, and event details. Ideal for martial arts enthusiasts and analysts.","This dataset offers comprehensive information about martial arts tournaments, including match results, fighter profiles, and event specifics. It covers various martial arts disciplines, such as MMA, boxing, and karate. Martial arts enthusiasts and analysts can use this data to analyze fighter performance and tournament dynamics across different disciplines.","Martial Arts, MMA, Boxing, Sports Analytics","Event, Date, Fighters, Match, Result, Discipline","1500","1323 KB","MartialArtsStats.com","CC BY-NC-SA 4.0","9.0"
11,"Stock Market Prices","Finance","A dataset containing daily stock market prices for a diverse range of publicly traded companies. Ideal for financial analysts and investors.","This dataset provides daily stock market prices for a wide range of publicly traded companies. It includes information on stock open, close, high, and low prices, as well as trading volumes. Financial analysts and investors can use this data to analyze historical stock performance and make informed investment decisions.","Stock Market, Finance, Stock Prices","Date, Ticker, Open, Close, High, Low, Volume","8000","2654 KB","Yahoo Finance","CC BY-NC-SA 4.0","9.1"
12,"Credit Card Transactions","Finance","A dataset containing simulated credit card transactions, including transaction amounts, merchants, and timestamps. Useful for fraud detection and transaction analysis.","This dataset comprises simulated credit card transactions, including transaction amounts, merchant details, and timestamps. It is a valuable resource for financial institutions and data analysts interested in fraud detection, transaction analysis, and consumer spending behavior. Researchers can use this data to develop fraud detection models and gain insights into transaction patterns.","Credit Cards, Finance, Fraud Detection","Transaction ID, Card Number, Amount, Merchant, Timestamp","12000","3897 KB","Synthetic Data Generator","CC BY-SA 4.0","8.7"
13,"Cryptocurrency Prices","Finance","A dataset containing historical cryptocurrency prices, including Bitcoin, Ethereum, and other major cryptocurrencies. Perfect for cryptocurrency enthusiasts and traders.","This dataset provides historical price data for major cryptocurrencies, including Bitcoin, Ethereum, and others. It includes daily prices, market capitalization, and trading volumes. Cryptocurrency enthusiasts and traders can use this data to analyze price trends, market capitalization, and trading activity across different cryptocurrencies.","Cryptocurrency, Finance, Bitcoin, Ethereum","Date, Coin, Price, Market Cap, Volume","5000","1876 KB","CoinMarketCap","CC BY-NC-SA 4.0","9.4"
14,"Bank Customer Churn","Finance","A dataset containing customer information for a bank, including churn status, account balances, and transaction history. Valuable for customer churn prediction.","This dataset contains customer information for a bank, including churn status, account balances, and transaction history. It is a valuable resource for financial institutions aiming to predict customer churn and improve customer retention strategies. Data analysts can use this data to develop predictive models for customer churn.","Banking, Finance, Customer Churn Prediction","Customer ID, Age, Balance, Transactions, Churn","7500","2945 KB","Bank of Finance","CC BY-NC-SA 4.0","8.9"
15,"Real Estate Investment Data","Finance","A dataset containing information about real estate investment properties, including property values, rental income, and location details. Ideal for real estate investors and analysts.","This dataset offers information about real estate investment properties, including property values, rental income, and location attributes. It covers properties from various regions, making it a valuable resource for real estate investors and analysts interested in property valuation and investment strategies.","Real Estate, Finance, Investment Properties","Property ID, Location, Value, Rental Income, Property Type","3000","1789 KB","RealEstateInvestor.com","CC BY-NC-SA 4.0","9.3"
