UID,Name,Topic,Summary,Description,Tags,Feature_Names,Length,Size,Source,License,Usability
1,"Football Stats","Sports","A comprehensive dataset containing statistics for football matches, including player performance, team rankings, and match outcomes. This dataset is ideal for analyzing football trends and player performance over the years.","This dataset provides detailed statistics for football matches, including player performance metrics, team rankings, and match results. It covers a wide range of attributes such as goals, assists, yellow cards, and red cards. Researchers and sports enthusiasts can use this data to analyze football trends, team strategies, and player performance over different seasons. The dataset is regularly updated to include the latest football statistics.","Football, Soccer, Sports Analytics","Player, Team, Match, Goals, Assists, Yellow Cards, Red Cards","5000","2456 KB","Kaggle","CC BY-SA 4.0","9.2"
2,"NBA Player Stats","Sports","A dataset containing statistics for NBA players, including points, rebounds, assists, and more. This data is perfect for basketball enthusiasts and analysts.","This dataset provides detailed statistics for NBA players, including points scored, rebounds, assists, steals, blocks, and more. It covers player performance for multiple seasons, allowing analysts to track the career trajectories of NBA athletes. Basketball enthusiasts and analysts can use this data to study player trends, team strategies, and historical performance.","Basketball, NBA, Sports Analytics","Player, Points, Rebounds, Assists, Steals, Blocks","2500","1897 KB","NBA.com","CC BY-NC-SA 4.0","9.5"
3,"Olympic Games Data","Sports","A dataset containing historical data of Olympic Games, including medal counts, countries, and athletes. Perfect for exploring the history of the Olympic Games.","This comprehensive dataset contains historical data of the Olympic Games, including information on medal counts, participating countries, and the athletes who competed. It covers data from various Olympic Games throughout history, enabling researchers to analyze trends and historical performances. This dataset is a valuable resource for those interested in the history of the Olympic Games and sports analytics.","Olympics, Sports History, Medal Counts","Year, Host City, Country, Athlete, Sport, Medal","12000","3689 KB","International Olympic Committee","Public Domain","8.8"
4,"Baseball Player Performance","Sports","An extensive dataset with performance statistics for baseball players, including batting averages, home runs, and pitching records. Ideal for baseball analysts and enthusiasts.","This dataset offers a comprehensive collection of performance statistics for baseball players, encompassing batting averages, home runs, earned run averages (ERAs), and other key metrics. It covers data for both pitchers and position players, making it a valuable resource for baseball analysts and enthusiasts. Researchers can use this data to analyze player trends, team dynamics, and historical performance.","Baseball, MLB, Sports Analytics","Player, Batting Average, Home Runs, ERA, Wins, Strikeouts","3500","2874 KB","MLB.com","CC BY-NC-SA 4.0","9.3"
5,"Soccer World Cup","Sports","A dataset containing historical records of FIFA World Cup matches, including scores, teams, and player statistics. Perfect for soccer fans and researchers.","This dataset contains historical records of FIFA World Cup matches, including scores, participating teams, and player statistics. It covers data from various World Cup tournaments, allowing soccer enthusiasts and researchers to explore the rich history of the tournament. Analysts can use this data to analyze team performance, player achievements, and tournament trends.","Soccer, FIFA World Cup, Sports History","Year, Host Country, Match, Score, Teams, Goals, Assists","3000","2145 KB","FIFA.com","Public Domain","8.9"
6,"Golf Tournament Results","Sports","A dataset with results and statistics from professional golf tournaments, including player scores, course details, and rankings. Valuable for golf enthusiasts and analysts.","This dataset provides results and statistics from professional golf tournaments, including player scores, course details, and rankings. It covers a wide range of golf tournaments, enabling golf enthusiasts and analysts to examine player performance, course characteristics, and historical trends. Researchers can use this data to gain insights into the world of professional golf.","Golf, PGA Tour, Sports Analytics","Player, Tournament, Score, Course, Par, Rank","1800","1456 KB","PGA Tour","CC BY-NC-SA 4.0","9.1"
7,"Tennis Grand Slam Data","Sports","A dataset containing information about Grand Slam tennis tournaments, including match results, players, and rankings. Ideal for tennis enthusiasts and analysts.","This dataset offers comprehensive information about Grand Slam tennis tournaments, including match results, player profiles, and historical rankings. It covers data from Wimbledon, the US Open, the French Open, and the Australian Open, making it a valuable resource for tennis enthusiasts and analysts. Researchers can use this data to analyze player performance and tournament dynamics.","Tennis, Grand Slam, Sports Analytics","Tournament, Year, Player, Match, Score, Rank","2500","1892 KB","ATP Tour","CC BY-NC-SA 4.0","9.4"
8,"Formula 1 Racing Data","Sports","A dataset containing statistics and results from Formula 1 races, including driver performance, team standings, and circuit details. Perfect for Formula 1 fans and analysts.","This dataset provides comprehensive statistics and results from Formula 1 races, including driver performance metrics, team standings, and circuit characteristics. It covers data from multiple Formula 1 seasons, allowing fans and analysts to track the evolution of the sport. Researchers can use this data to analyze driver rivalries, team strategies, and historical race outcomes.","Formula 1, Racing, Sports Analytics","Race, Year, Driver, Team, Circuit, Points","2000","1765 KB","Formula1.com","CC BY-NC-SA 4.0","9.2"
9,"Cricket Match Records","Sports","A dataset containing records of international cricket matches, including scores, players, and match details. Valuable for cricket enthusiasts and analysts.","This dataset contains records of international cricket matches, including scores, participating players, and match-specific details. It covers various formats of the game, such as Test matches, One Day Internationals (ODIs), and Twenty20 (T20) matches. Cricket enthusiasts and analysts can use this data to analyze player performances and historical match outcomes.","Cricket, Sports Analytics, International Matches","Match, Year, Teams, Score, Player, Runs, Wickets","2800","2098 KB","International Cricket Council","CC BY-NC-SA 4.0","8.8"
10,"Martial Arts Tournament Data","Sports","A dataset containing information about martial arts tournaments, including match results, fighters, and event details. Ideal for martial arts enthusiasts and analysts.","This dataset offers comprehensive information about martial arts tournaments, including match results, fighter profiles, and event specifics. It covers various martial arts disciplines, such as MMA, boxing, and karate. Martial arts enthusiasts and analysts can use this data to analyze fighter performance and tournament dynamics across different disciplines.","Martial Arts, MMA, Boxing, Sports Analytics","Event, Date, Fighters, Match, Result, Discipline","1500","1323 KB","MartialArtsStats.com","CC BY-NC-SA 4.0","9.0"
11,"Stock Market Prices","Finance","A dataset containing historical stock market prices for various publicly traded companies. This data is essential for financial analysts and investors looking to analyze stock trends and make informed investment decisions.","This comprehensive dataset provides historical stock market prices for a wide range of publicly traded companies. It includes daily price data, volume, and other key metrics, making it a valuable resource for financial analysts and investors. Researchers can use this data to analyze stock trends, perform technical analysis, and develop trading strategies. Whether you're a seasoned investor or a data enthusiast, this dataset is essential for making informed investment decisions.","Stocks, Financial Markets, Investment","Date, Ticker Symbol, Open Price, Close Price, Volume, High Price, Low Price","15000","2678 KB","Yahoo Finance","CC BY-NC-SA 4.0","9.4"
12,"Credit Card Transactions","Finance","A dataset containing credit card transaction records, including transaction amounts, merchants, and transaction types. Ideal for fraud detection and financial analysis.","This dataset consists of credit card transaction records, including transaction amounts, merchant information, and transaction types. It is a valuable resource for fraud detection, as analysts can use it to identify unusual transaction patterns and potential fraud. Additionally, financial analysts can utilize this data to study spending habits and customer behavior. With its rich transaction history, this dataset is essential for both fraud prevention and financial analysis.","Credit Cards, Transactions, Fraud Detection","Transaction ID, Date, Amount, Merchant, Type, Cardholder","20000","3987 KB","Financial Institutions","CC BY-NC-SA 4.0","9.2"
13,"Mortgage Loan Data","Finance","A dataset containing information about mortgage loans, including loan amounts, interest rates, and borrower demographics. Ideal for mortgage lenders and analysts.","This dataset provides comprehensive information about mortgage loans, including loan amounts, interest rates, borrower demographics, and loan terms. It is a valuable resource for mortgage lenders looking to assess credit risk and make lending decisions. Additionally, analysts can use this data to study mortgage market trends and borrower profiles. Whether you're in the lending industry or conducting research in finance, this dataset is essential for understanding the mortgage market.","Mortgages, Loans, Lending, Credit Risk","Loan ID, Amount, Interest Rate, Borrower Age, Income, Credit Score, Loan Term","10000","1865 KB","Federal Reserve","CC BY-NC-SA 4.0","8.9"
14,"Cryptocurrency Prices","Finance","A dataset containing historical cryptocurrency prices, including Bitcoin, Ethereum, and other major cryptocurrencies. Ideal for cryptocurrency traders and analysts.","This dataset offers historical price data for major cryptocurrencies, including Bitcoin, Ethereum, and more. It includes daily price, volume, and market capitalization, making it a valuable resource for cryptocurrency traders and analysts. With this data, you can analyze price trends, trading volumes, and market dynamics in the cryptocurrency space. Whether you're a crypto enthusiast or a trader, this dataset is essential for informed decision-making in the crypto market.","Cryptocurrencies, Bitcoin, Ethereum, Trading","Date, Cryptocurrency, Price, Volume, Market Cap","8000","1523 KB","CryptoExchange.com","CC BY-NC-SA 4.0","9.5"
