stress,hindex,tenured,subjective.happyness,country,tenure.age
5,2,FALSE,5.75,NA,0
6,3,FALSE,3.5,NA,0
1,5,FALSE,4.75,NA,0
2,4,FALSE,6.25,NA,0
3,0,FALSE,5.75,NA,0
6,6,FALSE,5,NA,0
5,2,FALSE,2.5,NA,0
7,5,TRUE,6.25,NA,31
4,4,FALSE,6,NA,0
5,9,TRUE,6,NA,31
3,2,FALSE,4.25,NA,0
6,2,FALSE,5.75,NA,0
6,0,TRUE,2.5,NA,24
1,7,TRUE,5.5,NA,23
3,6,FALSE,7,NA,0
3,0,FALSE,3.75,NA,0
3,71,TRUE,5,NA,35
2,2,FALSE,3.75,NA,0
6,3,TRUE,2.25,NA,23
3,6,FALSE,6,NA,0
6,7,FALSE,3.5,NA,0
3,60,TRUE,6.75,NA,38
2,8,TRUE,5.5,NA,30
6,3,FALSE,5.5,NA,0
3,14,TRUE,5.25,NA,34
5,6,FALSE,3.25,NA,0
3,23,TRUE,5.75,NA,36
7,3,FALSE,5,NA,0
3,0,FALSE,5,NA,0
7,9,TRUE,5.75,NA,31
5,31,TRUE,4.5,NA,38
5,1,TRUE,3.5,NA,23
6,12,TRUE,5,NA,30
3,0,FALSE,4.5,NA,0
6,2,FALSE,5.75,NA,0
6,2,FALSE,4.75,NA,0
5,10,FALSE,4,NA,0
5,6,FALSE,4.5,NA,0
6,0,FALSE,3,NA,0
5,2,FALSE,5,NA,0
5,17,TRUE,6.5,NA,36
4,9,FALSE,5.25,NA,0
7,18,FALSE,2.5,NA,0
2,5,TRUE,5.75,NA,31
3,34,TRUE,5.5,NA,38
4,14,FALSE,4.25,NA,0
5,10,TRUE,5.75,NA,34
7,8,FALSE,3.25,NA,0
7,4,FALSE,1.5,NA,0
1,19,TRUE,4.5,NA,50
3,3,FALSE,3.75,NA,0
3,54,TRUE,5.5,NA,36
3,10,FALSE,5.5,NA,0
5,1,FALSE,3.75,NA,0
6,3,FALSE,3,NA,0
5,1,FALSE,2.75,NA,0
7,3,FALSE,4.75,NA,0
4,1,FALSE,5.25,NA,0
5,9,FALSE,4.75,NA,0
3,3,FALSE,5.5,NA,0
5,2,FALSE,3.25,NA,0
2,5,FALSE,6.5,NA,0
6,5,FALSE,3.25,NA,0
5,12,FALSE,3,NA,0
2,8,FALSE,5.75,NA,0
5,3,FALSE,5.75,NA,0
2,8,TRUE,5.25,NA,26
6,6,FALSE,4.5,NA,0
6,11,FALSE,4.75,NA,0
5,0,FALSE,4,NA,0
5,5,TRUE,6.25,NA,27
6,10,TRUE,5,NA,40
5,6,FALSE,5.25,NA,0
3,0,FALSE,4,NA,0
4,9,FALSE,4,NA,0
6,2,FALSE,4,NA,0
6,0,FALSE,5,NA,0
5,5,TRUE,5.25,NA,39
5,8,TRUE,3.25,NA,33
5,5,FALSE,6.25,NA,0
6,1.2,FALSE,4.75,NA,0
3,5,FALSE,4,NA,0
2,3,TRUE,6,NA,33
7,0,FALSE,3,NA,0
1,2,FALSE,6,NA,0
4,3,FALSE,5.5,NA,0
7,1,FALSE,5.25,NA,0
5,6,FALSE,5.25,NA,0
6,6,FALSE,3,NA,0
4,4,FALSE,3.25,NA,0
1,2,FALSE,6.25,NA,0
2,0,FALSE,6.5,NA,0
6,7,TRUE,5.25,NA,26
7,3,FALSE,4,NA,0
7,0,FALSE,4,NA,0
5,2,FALSE,6.25,NA,0
4,5,FALSE,5.75,NA,0
4,4,FALSE,4.75,NA,0
3,4,FALSE,3.25,NA,0
5,2,FALSE,3.5,NA,0
6,5,FALSE,4.75,NA,0
5,3,FALSE,3.75,NA,0
2,13,TRUE,7,NA,40
5,5,FALSE,5.5,NA,0
4,7,FALSE,5,NA,0
3,19,TRUE,5.5,NA,33
6,69,TRUE,6.25,NA,31
4,9,FALSE,5.5,NA,0
3,22,FALSE,6.25,NA,0
4,0,FALSE,4.5,NA,0
5,30,TRUE,5.75,NA,30
5,3,FALSE,5.5,NA,0
4,1,TRUE,6.25,NA,29
6,0,FALSE,4,NA,0
5,12,FALSE,3.75,NA,0
5,4,FALSE,4,NA,0
7,44,TRUE,3,NA,38
6,8,FALSE,3.75,NA,0
6,2,FALSE,3,NA,0
5,9,FALSE,3.25,NA,0
7,3,FALSE,4.25,NA,0
5,2,FALSE,3.75,NA,0
6,7,FALSE,4.25,NA,0
5,3,FALSE,5.25,NA,0
6,8,FALSE,1.75,NA,0
2,5,FALSE,4,NA,0
2,30,FALSE,5.75,NA,0
7,3,FALSE,3.25,NA,0
4,35,TRUE,4,NA,36
6,19,FALSE,4,NA,0
4,4,FALSE,5,NA,0
5,7,FALSE,3,NA,0
3,38,TRUE,5.5,NA,35
7,8,FALSE,1,NA,0
5,3,FALSE,4.75,NA,0
4,3,FALSE,5.75,NA,0
6,6,FALSE,3,NA,0
6,14,FALSE,4.25,NA,0
2,5,FALSE,6.25,NA,0
5,23,TRUE,5.75,NA,30
4,1,FALSE,4.5,NA,0
3,1,FALSE,3,NA,0
3,1,FALSE,6.75,NA,0
3,5,FALSE,6.5,NA,0
4,15,TRUE,4.25,NA,41
2,6,FALSE,6.25,NA,0
4,6,FALSE,5.25,NA,0
7,0,FALSE,5.25,NA,0
2,25,TRUE,6,NA,30
3,8,FALSE,2.5,NA,0
6,25,FALSE,5.25,NA,0
3,15,TRUE,4.75,NA,30
4,1,FALSE,4,NA,0
5,8,FALSE,5.5,NA,0
5,4,FALSE,5.75,NA,0
3,0,FALSE,6.25,NA,0
6,24,TRUE,5.25,NA,24
4,5,TRUE,5.25,NA,30
6,42,TRUE,5.5,NA,38
4,0.7,FALSE,3.75,NA,0
4,17,TRUE,3,NA,31
5,7,FALSE,6,NA,0
6,2,FALSE,5.25,NA,0
2,1,FALSE,5.75,NA,0
2,0,FALSE,6,NA,0
4,2,TRUE,3.25,NA,24
5,14,FALSE,5.25,NA,0
5,34,TRUE,6,NA,36
5,8,FALSE,3.5,NA,0
5,11,TRUE,4.5,NA,40
7,0.1,FALSE,5.25,NA,0
5,22,TRUE,6.25,NA,40
5,2,FALSE,3.75,NA,0
5,3,FALSE,4.75,NA,0
2,8,FALSE,4.25,NA,0
3,41,TRUE,5,NA,36
1,0,FALSE,6.25,NA,0
5,1,FALSE,3.5,NA,0
2,50,TRUE,6,NA,40
5,4,FALSE,3.25,NA,0
1,63,TRUE,5.75,NA,28
5,14,FALSE,6.75,NA,0
3,17,FALSE,5.5,NA,0
6,5,FALSE,5,NA,0
6,5,FALSE,4.25,NA,0
1,4,FALSE,5.5,NA,0
1,4,FALSE,5.5,NA,0
5,26,TRUE,5,NA,34
2,22,TRUE,5.5,NA,34
2,0,FALSE,6,.ca,0
1,8,FALSE,5,NA,0
6,3,FALSE,6,NA,0
5,2,FALSE,3.5,NA,0
5,30,TRUE,6,NA,35
5,3,FALSE,6,NA,0
6,55,TRUE,3.5,NA,33
5,2,TRUE,4.5,NA,28
2,72,TRUE,5.5,.br,46
5,8,FALSE,4.25,NA,0
3,2,FALSE,4.5,NA,0
5,5,FALSE,2.75,NA,0
4,55,TRUE,5,NA,39
5,7,FALSE,6,NA,0
6,3,FALSE,2.5,NA,0
6,4,FALSE,2.5,NA,0
6,14,FALSE,4.25,NA,0
4,55,TRUE,4.75,.uk,39
5,0,FALSE,3.75,NA,0
7,1,FALSE,3.25,NA,0
4,3,FALSE,6,NA,0
6,13,TRUE,2.5,NA,33
5,7,FALSE,4.25,.ca,0
6,1,FALSE,6.25,NA,0
6,3,FALSE,3.75,NA,0
5,3,FALSE,5.75,.ca,0
5,31,TRUE,3.75,NA,38
6,6,FALSE,4.5,NA,0
5,5,TRUE,4.75,.ar,35
7,21,TRUE,4,.se,28
5,1,FALSE,5.75,NA,0
5,2,FALSE,3,NA,0
6,1,FALSE,6.25,NA,0
5,7,FALSE,6,edu,0
1,16,FALSE,7,com,0
5,32,TRUE,4.25,edu,37
2,1,FALSE,4.25,NA,0
3,5,FALSE,4,NA,0
6,68,TRUE,3.5,NA,31
1,47,TRUE,7,NA,65
6,8,FALSE,4.5,com,0
3,5,FALSE,4,NA,0
4,4,FALSE,5.25,NA,0
3,0,FALSE,6,.ca,0
5,8,FALSE,2.75,NA,0
4,0,FALSE,5,NA,0
1,20,TRUE,6.25,.ar,23
4,13,TRUE,6.25,.cl,40
6,4,FALSE,4,edu,0
5,1,FALSE,4,NA,0
6,6,FALSE,5,edu,0
2,4,FALSE,7,.au,0
6,4,FALSE,4.75,.it,0
5,12,TRUE,3.5,edu,40
4,1,FALSE,4.25,NA,0
4,4,FALSE,4.5,NA,0
4,2,FALSE,5,edu,0
7,8,FALSE,4.5,NA,0
6,2,FALSE,3.5,NA,0
5,1,FALSE,4.5,NA,0
7,6,FALSE,6.5,edu,0
4,6,TRUE,5.75,NA,30
2,33,TRUE,6.25,NA,50
3,1,FALSE,4.25,NA,0
5,7,FALSE,4.25,edu,0
3,41,FALSE,6.25,NA,0
5,1,FALSE,4,NA,0
4,19,FALSE,6,NA,0
1,11,TRUE,5.25,.br,30
5,25,TRUE,4.5,NA,45
5,3,FALSE,3,edu,0
3,0,FALSE,5,edu,0
1,30,TRUE,6,NA,40
3,8,FALSE,6,edu,0
2,3,FALSE,5.75,NA,0
1,2,FALSE,5.5,.jp,0
5,7,TRUE,3.5,.ec,31
5,1,FALSE,4,.in,0
5,12,TRUE,3.5,edu,40
6,5,FALSE,3.5,edu,0
2,4,FALSE,6,edu,0
5,4,FALSE,7,.jp,0
4,0,FALSE,5.75,.ca,0
1,11,TRUE,7,.nz,32
6,0,FALSE,3.5,edu,0
4,4,FALSE,4.5,edu,0
4,2,FALSE,6.25,edu,0
2,14,TRUE,5,.ro,26
7,7,FALSE,1.5,edu,0
6,2,TRUE,3,.co,31
4,2,FALSE,5.25,.ca,0
3,5,FALSE,5.75,edu,0
3,5,FALSE,5.75,edu,0
6,4,FALSE,2.75,.it,0
6,1,FALSE,3,edu,0
4,29,TRUE,5.75,NA,30
5,6,FALSE,3,NA,0
3,35,TRUE,5.75,.jp,30
4,18,TRUE,4.5,edu,42
3,20,FALSE,2.25,edu,0
5,3,FALSE,3.75,.uk,0
2,9,FALSE,6,edu,0
6,5,FALSE,4.75,edu,0
7,9,TRUE,2,NA,39
4,14,FALSE,4.5,edu,0
5,2,FALSE,2.75,NA,0
6,0,FALSE,6.75,NA,0
6,0,FALSE,6.75,NA,0
4,1,FALSE,6.25,edu,0
5,11,TRUE,5.25,.jp,29
5,1,FALSE,5.5,edu,0
4,6,FALSE,5.25,NA,0
6,8,FALSE,3,NA,0
5,1,FALSE,5.75,.ca,0
2,3,FALSE,6,NA,0
5,1,FALSE,4.75,.hk,0
3,14,TRUE,3.75,.jp,32
2,20,TRUE,5.75,.jp,30
