,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
0,IELTS Band 7+ Complete Prep Course,https://www.udemy.com/course/ielts-band-7-preparation-course/,"Keino Campbell, Esq.",4.5,22271,77.5,380,All Levels,139.99,12.99,100434
1,Spanish for Beginners. The Complete Method. Level 1,https://www.udemy.com/course/el-metodo-spanish-1/,Peter Hanley,4.7,16401,4.0,49,Beginner,19.99,12.99,61407
2,English Grammar Launch: Upgrade your speaking and listening,https://www.udemy.com/course/learn-english-grammar-upgrade-your-speaking-and-listening/,Anthony Kelleher,4.6,12249,6.0,66,Intermediate,39.99,13.99,64388
3,Learn German Language: Complete German Course - Beginners,https://www.udemy.com/course/german-course-for-beginners-learn-german/,AbcEdu Online,4.3,9658,17.0,62,All Levels,19.99,12.99,54357
4,3 Minute French - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-french-full-course-1/,Kieran Ball,4.7,9579,4.5,100,Beginner,179.99,16.99,38388
5,English for Beginners: Intensive Spoken English Course,https://www.udemy.com/course/complete-intensive-english-course-for-beginners/,Logus Online,4.4,8450,77.0,63,Beginner,174.99,15.99,36029
6,Mastering IELTS Writing: Task 2 (Achieve Band 7+ in 7 Hours),https://www.udemy.com/course/mastering-ielts-writing-task-2/,The IELTS Teacher,4.7,7794,7.5,36,All Levels,99.99,11.99,34961
7,Become an Algebra Master,https://www.udemy.com/course/integralcalc-algebra/,Krista King,4.7,6962,14.5,336,All Levels,159.99,14.99,43634
8,Become a Calculus 1 Master,https://www.udemy.com/course/calculus1/,Krista King,4.6,6762,17.0,300,All Levels,159.99,14.99,50793
9,Level 1 Intelligence Analyst Certification,https://www.udemy.com/course/level-1-intelligence-analyst-certification/,Robert Folker,4.4,6514,2.5,19,Beginner,19.99,11.99,54024
10,Become a Probability & Statistics Master,https://www.udemy.com/course/statistics-probability/,Krista King,4.7,6253,11.5,121,All Levels,169.99,15.99,46108
11,"Confidence On Camera: Make Amazing Videos, Easily.",https://www.udemy.com/course/be-comfortable-and-confident-on-camera/,Alexa Fischer,4.6,6214,5.0,61,All Levels,149.99,13.99,32949
12,"Spanish 1-4: Beginner, Elementary, Intermediate and Advanced",https://www.udemy.com/course/spanish-101-beginning-spanish-spanish-for-beginners/,Simple3 L,4.2,6089,109.0,323,All Levels,39.99,13.99,36936
13,Master the Fundamentals of Math,https://www.udemy.com/course/fundamentals-of-math/,Krista King,4.7,6042,6.0,143,All Levels,129.99,11.99,30591
14,Master Cognitive Biases and Improve Your Critical Thinking,https://www.udemy.com/course/upgrade-your-mindware/,Kevin deLaplante,4.4,5928,2.5,50,All Levels,94.99,11.99,17299
15,Online Japanese N5 Course(All 15 lessons),https://www.udemy.com/course/japanese-n5-course/,Attain Corp.,4.6,5259,21.5,248,Beginner,139.99,12.99,37181
16,PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,"TIA Education, Andrew Ramdayal",4.6,5276,35.0,423,All Levels,94.99,13.99,16145
17,The Complete TOEFL iBT Success Course (NEW VERSION),https://www.udemy.com/course/the-complete-toefl-ibt-success-course/,Maria Guryeva,4.5,4947,10.0,88,Intermediate,129.99,11.99,16802
18,Building Your English Brain,https://www.udemy.com/course/building-your-english-brain/,Luke Priddy,4.5,4785,3.0,15,All Levels,39.99,11.99,19108
19,English Vocabulary Launch: Upgrade your speaking,https://www.udemy.com/course/english-vocabulary-launch-upgrade-your-english-speaking-grammar/,Anthony Kelleher,4.6,4355,7.0,92,All Levels,39.99,11.99,27849
20,Counselling Skills Certificate Course (Beginner to Advanced),https://www.udemy.com/course/online-counselling-practitioner-course-counselling-skills/,"Kain Ramsay, Achology Ltd",4.5,4221,45.5,206,All Levels,129.99,12.99,21891
21,The Complete English Grammar Course - Perfect Your English,https://www.udemy.com/course/the-complete-english-grammar-course/,"TJ Walker, Derek Smith",4.5,4208,31.0,561,All Levels,149.99,13.99,136189
22,Online Japanese Beginner Course (All 12 lessons）,https://www.udemy.com/course/online-japanese-beginner-course/,Attain Corp.,4.6,4114,5.5,77,Beginner,89.99,11.99,20676
23,German Made Simple: A Complete Course for Serious Learners,https://www.udemy.com/course/german-made-simple/,Ingo Depner,4.5,4082,5.0,89,Beginner,149.99,13.99,30908
24,Accounting: From Beginner to Advanced!,https://www.udemy.com/course/accounting101/,"Stefan Ignatovski, Ph.D.",4.4,4069,5.5,86,All Levels,129.99,11.99,17751
25,spring Framework for Beginners with Spring Boot,https://www.udemy.com/course/spring-5-with-spring-boot-2/,Navin Reddy,4.5,3810,5.5,66,Beginner,129.99,11.99,53982
26,Workshop in Probability and Statistics,https://www.udemy.com/course/statshelp/,George Ingersoll,4.6,3697,22.0,74,All Levels,39.99,11.99,26874
27,IELTS Speaking Success - Get a Band 7+,https://www.udemy.com/course/ielts-speaking-success-get-a-band-7/,"Keith O'Hare, Dip TESOL, MSc.",4.7,3664,8.5,75,Intermediate,99.99,11.99,9380
28,"Electricity & electronics - Robotics, learn by building",https://www.udemy.com/course/analog-electronics-robotics-learn-by-building/,Ian Juby,4.7,3503,10.5,57,All Levels,99.99,13.99,23191
29,ISTQB Foundation level (CTFL) Training 2021 exam + 1500quiz,https://www.udemy.com/course/istqb-foundation-level-a-to-z-500-questions/,ISTQB Foundation level,4.5,3369,16.5,267,All Levels,149.99,15.99,29881
30,Business English Course for ESL Students,https://www.udemy.com/course/business-english-course-for-esl-students/,Shayna Oliveira,4.4,3353,6.0,40,Intermediate,59.99,12.99,19000
31,Diploma in Modern Applied Psychology (DMAP.),https://www.udemy.com/course/diploma-in-modern-applied-psychology-achology-certified/,"Kain Ramsay, Achology Ltd",4.5,3336,51.0,180,All Levels,149.99,13.99,16963
32,Practice and Perfect your French - Intermediate Level (HD),https://www.udemy.com/course/intermediate-french-master-the-past-tenses/,Anne Le Grand,4.6,1882,1.5,57,Intermediate,99.99,12.99,100434
33,"English grammar tenses & structures, the ultimate course",https://www.udemy.com/course/english-grammar-tenses-structures-the-ultimate-course/,Ustazy English Grammar Experts,4.2,1882,1.5,23,All Levels,19.99,11.99,50793
34,Business English: Easy English for Meetings,https://www.udemy.com/course/english-for-meetings/,Jacqueline Seidel,4.5,1878,2.0,17,Intermediate,49.99,11.99,54357
35,CORE KOREAN 1: Build up Korean Foundations through Practice,https://www.udemy.com/course/core-korean-1-build-up-korean-foundations-through-practice/,"Daniel Lin, Sookie Jung",4.5,1867,11.0,174,Beginner,129.99,11.99,43634
36,English Speaking Patterns Mastery: Upgrade your English,https://www.udemy.com/course/english-speaking-patterns-mastery-upgrade-your-english/,Anthony Kelleher,4.4,1857,5.5,59,All Levels,39.99,11.99,36936
37,Passing Certification Exams with Strategic Test Taking!,https://www.udemy.com/course/better-testing/,"Jason Dion • 275,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",4.7,1842,3.0,25,All Levels,99.99,13.99,11039
38,Dialectical Behaviour Therapy (DBT) - ACCREDITED CERTIFICATE,https://www.udemy.com/course/dbt-certificate/,Elmira Strange,4.3,1816,3.0,26,Beginner,109.99,12.99,154706
39,Dominate GMAT Verbal - Comprehensive GMAT Verbal Prep Course,https://www.udemy.com/course/dominate-gmat-verbal/,Brett Ethridge,4.5,1813,9.0,37,All Levels,69.99,16.99,8396
40,Improve English by Movies,https://www.udemy.com/course/improve-english-by-movies/,Yusuf Katı,3.8,1805,14.0,177,Intermediate,0.0,199.99,8637
41,Teach Anybody Anything: Reach Any Learner Anywhere,https://www.udemy.com/course/teach-all-learners-simultaneously/,Jason Teteak,4.5,1803,2.0,8,All Levels,99.99,11.99,13596
42,Complete Spanish Course: Learn Spanish Language | Beginners,https://www.udemy.com/course/spanish-course-for-beginners/,AbcEdu Online,4.0,1782,14.5,56,All Levels,19.99,11.99,63974
43,Basic English Grammar And Structures,https://www.udemy.com/course/basic-english-grammar-and-structures/,"Seçkin Esen, Akın Demir",4.5,1754,6.5,73,Beginner,129.99,11.99,8393
44,Online Japanese N4 Course(All 15 lessons),https://www.udemy.com/course/japanese-n4-course/,Attain Corp.,4.6,1725,14.0,218,Beginner,139.99,12.99,7288
45,Complete High Speed Vedic Math Course,https://www.udemy.com/course/vedicmaths/,Gaurav Tekriwal,4.3,1720,14.5,57,All Levels,34.99,13.99,10602
46,3 Minute Spanish - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-spanish-full-course-1/,Kieran Ball,4.8,1716,5.5,109,Beginner,129.99,11.99,43089
47,German for beginners (A1 - Part 1/5),https://www.udemy.com/course/germanforbeginners-part1/,Juliane Klingenberg Nery,4.6,1697,5.0,64,Beginner,99.99,11.99,5538
48,English Fluency | How to Sound Like a Native English Speaker,https://www.udemy.com/course/improving-your-english-fluency/,Luke Priddy,4.6,1660,3.0,16,All Levels,39.99,11.99,21475
49,3 Minute Italian - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-italian-full-course-1/,Kieran Ball,4.6,1648,4.5,95,Beginner,129.99,11.99,27767
50,Speak English With Confidence: English Speaking Course,https://www.udemy.com/course/english-speaking/,"Charles Cornelius, MA, CertEd & CELTA",4.4,1617,7.0,131,Intermediate,129.99,11.99,20530
51,3 Minute French - Course 2 | Language lessons for beginners,https://www.udemy.com/course/3-minute-french-course-2/,Kieran Ball,4.7,1616,4.5,93,Beginner,159.99,14.99,8731
52,Teach English Online: find students and start teaching now,https://www.udemy.com/course/teach-english-online/,"Charles Cornelius, MA, CertEd & CELTA",4.6,1571,6.5,42,All Levels,139.99,12.99,6762
53,3 Minute German - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-german-full-course-1/,Kieran Ball,4.7,1564,4.5,100,Beginner,129.99,11.99,100434
54,Child Psychology (Advanced Level) - ACCREDITED CERTIFICATE,https://www.udemy.com/course/child-psychology/,Elmira Strange,4.4,1560,2.0,22,All Levels,99.99,15.99,50793
55,Train the Trainer Virtual: Virtual Training Master Class,https://www.udemy.com/course/virtual-training-effective-methods-for-online-training/,Jason Teteak,4.1,1526,7.0,37,All Levels,129.99,11.99,54357
56,Become a Geometry Master,https://www.udemy.com/course/geometry-basics/,Krista King,4.7,1513,8.5,176,All Levels,174.99,15.99,43634
57,Learn Social Psychology - The Self & Self-Esteem,https://www.udemy.com/course/social-psychology-self-esteem/,"Andrew Luttrell, Ph.D.",4.1,1508,1.0,18,Beginner,19.99,11.99,36936
58,RF Basic Concepts & Components Radio Frequency- Entry Level,https://www.udemy.com/course/rf-fundamentals_all-basic-concepts_rahsoft/,"Rahsoft RF Certificate - Orange County, California",4.3,1503,4.5,38,Beginner,0.0,19.99,5745
59,The Complete English Grammar Course 1 - from A1 to C1 level,https://www.udemy.com/course/the-complete-english-grammar-course-from-a1-to-c1-level/,"Vyara Georgieva, Denis Buchel",4.4,1497,27.5,308,All Levels,129.99,11.99,8782
60,Level 2 Intelligence Analyst Certification,https://www.udemy.com/course/level-2-intelligence-analyst-certification/,Robert Folker,4.4,1489,1.0,7,Intermediate,34.99,11.99,5751
61,Voice-Over Training: Record And Edit Voice Overs Like A Pro,https://www.udemy.com/course/record-voice-overs-like-a-pro-step-by-step-blueprint/,"Peter Baker, Voiceover Masterclass",4.6,1480,6.5,57,All Levels,129.99,11.99,10263
62,Complete Russian Language course for Beginners A1,https://www.udemy.com/course/russian-courses-for-beginners-a1-with-native-speaker-siaso/,Siaso Academy,4.3,1439,5.0,137,All Levels,49.99,11.99,11159
63,Write a Book! Creative Writing Skills for Beginner Writers,https://www.udemy.com/course/writenow/,Brian Jackson,4.3,1406,17.0,188,Beginner,19.99,12.99,7593
64,Core Spatial Data Analysis: Introductory GIS with R and QGIS,https://www.udemy.com/course/core-spatial-data-analysis-with-r-and-qgis/,Minerva Singh,4.2,1403,2.5,33,All Levels,159.99,14.99,5978
65,Français Intensif - Intensive French Course for Beginners,https://www.udemy.com/course/francais-intensif-intensive-french-course-for-beginners/,Kamil Pakula,4.5,1385,7.5,107,Beginner,29.99,13.99,6845
